FECHA;VENTAS
2019-01-01;34012.89
2019-02-01;5269.86
2019-03-01;24007.49
2019-04-01;54293.77
2019-05-01;43994.70
2019-06-01;813.69
2019-07-01;28649.09
2019-08-01;92125.95
2019-09-01;363.04
2019-10-01;24442.57
2019-11-01;75826.05
2019-12-01;311.50
2020-01-01;22073.88
2020-02-01;3130.74
2020-03-01;36904.18
2020-04-01;2901.56
2020-05-01;208.81
2020-06-01;42954.90
2020-07-01;16999.71
2020-08-01;43034.46
2020-09-01;5005.71
2020-10-01;7434.45
2020-11-01;26954.52
2020-12-01;3163.99
2021-01-01;31240.74
2021-02-01;18574.50
2021-03-01;47762.53
2021-04-01;9287.07
2021-05-01;16725.54
2021-06-01;34657.91
2021-07-01;10624.07
2021-08-01;10968.02
2021-09-01;47973.82
2021-10-01;19316.48
2021-11-01;52923.19
2021-12-01;54208.98
2022-01-01;46449.02
2022-02-01;5476.00
2022-03-01;33297.65
2022-04-01;12504.67
2022-05-01;46042.14
2022-06-01;20027.81
2022-07-01;537.69
2022-08-01;135672.55
2022-09-01;52637.85
2022-10-01;4511.19
2022-11-01;28567.54
2022-12-01;1342.68
2023-01-01;123914.48
2023-02-01;50999.55
2023-03-01;81351.11
2023-04-01;23686.44
2023-05-01;2087.94
2023-06-01;58794.12
2023-07-01;48686.27
2023-08-01;30137.07
2023-09-01;21783.84
2023-10-01;47520.95
2023-11-01;11236.62
2023-12-01;25008.82
2024-01-01;36235.61
2024-02-01;54635.69
2024-03-01;1467.85
2024-04-01;30236.96
2024-05-01;50204.16
2024-06-01;7798.07
2024-07-01;30742.54
2024-08-01;81376.56
2024-09-01;15889.73
2024-10-01;8318.26
2024-11-01;49234.46
2024-12-01;13001.81
2025-01-01;33226.80
2025-02-01;60824.83
2025-03-01;43703.80
2025-04-01;4313.47
2025-05-01;28298.25
2025-06-01;14633.33
2025-07-01;35836.97
2025-08-01;7316.66
2025-09-01;3766.74
2025-10-01;12185.12
2025-11-01;2244.80
2025-12-01;26296.81
2026-01-01;70875.41
2026-02-01;10923.36
2026-03-01;42318.78
2026-04-01;4914.28
2026-05-01;11246.95
2026-06-01;3558.99
2026-07-01;7138.26
2026-08-01;24672.97
2026-09-01;6992.68
2026-10-01;25164.50
2026-11-01;4054.25
2026-12-01;4442.46
2027-01-01;65683.50
2027-02-01;7761.49
2027-03-01;12567.76
2027-04-01;5104.54
2027-05-01;38795.10
2027-06-01;29595.27
2027-07-01;4788.84
2027-08-01;61614.93
2027-09-01;23733.49
2027-10-01;95120.06
2027-11-01;33261.40
2027-12-01;417.10
2028-01-01;49796.69
2028-02-01;64064.36
2028-03-01;1404.23
2028-04-01;11764.20
2028-05-01;38440.51
2028-06-01;104554.63
2028-07-01;1853.20
2028-08-01;4215.58
2028-09-01;48166.04
2028-10-01;82208.91
2028-11-01;44387.93
2028-12-01;10682.42
2029-01-01;142296.11
2029-02-01;2790.49
2029-03-01;47971.40
2029-04-01;15217.94
2029-05-01;81520.13
2029-06-01;7489.54
2029-07-01;6039.20
2029-08-01;52936.70
2029-09-01;6508.31
2029-10-01;24717.19
2029-11-01;31401.55
2029-12-01;27320.38
2030-01-01;4228.11
2030-02-01;4251.34
2030-03-01;10049.89
2030-04-01;24379.97
2030-05-01;32695.51
2030-06-01;188.21
2030-07-01;1975.50
2030-08-01;70365.22
2030-09-01;33318.85
2030-10-01;65454.27
2030-11-01;15693.44
2030-12-01;13842.37
2031-01-01;69442.58
2031-02-01;11242.13
2031-03-01;11349.89
2031-04-01;15836.82
2031-05-01;100688.54
2031-06-01;25713.07
2031-07-01;47968.80
2031-08-01;51889.96
2031-09-01;21073.02
2031-10-01;8746.96
2031-11-01;4767.18
2031-12-01;178307.20
2032-01-01;2707.62
2032-02-01;25777.18
2032-03-01;50508.40
2032-04-01;1277.44
2032-05-01;55220.72
2032-06-01;701.21
2032-07-01;642.20
2032-08-01;3789.38
2032-09-01;13797.75
2032-10-01;1026.81
2032-11-01;18796.15
2032-12-01;50587.91
2033-01-01;3633.77
2033-02-01;95526.00
2033-03-01;2501.43
2033-04-01;74271.07
2033-05-01;32100.74
2033-06-01;43875.00
2033-07-01;54136.92
2033-08-01;8354.06
2033-09-01;36938.15
2033-10-01;88982.65
2033-11-01;27795.09
2033-12-01;40167.63
2034-01-01;10966.50
2034-02-01;59898.57
2034-03-01;739.83
2034-04-01;5035.12
2034-05-01;62791.28
2034-06-01;40511.97
2034-07-01;21569.87
2034-08-01;39810.89
2034-09-01;52263.90
2034-10-01;50038.74
2034-11-01;2333.82
2034-12-01;25377.47
2035-01-01;1327.06
2035-02-01;59466.57
2035-03-01;9075.79
2035-04-01;68926.68
2035-05-01;61804.79
2035-06-01;14188.75
2035-07-01;74150.42
2035-08-01;37689.84
2035-09-01;11010.07
2035-10-01;5129.60
2035-11-01;35317.54
2035-12-01;2095.80
2036-01-01;6498.80
2036-02-01;876.32
2036-03-01;79945.99
2036-04-01;13880.00
2036-05-01;15836.35
2036-06-01;21008.05
2036-07-01;45926.95
2036-08-01;809.00
2036-09-01;120497.78
2036-10-01;84803.90
2036-11-01;6534.00
2036-12-01;147009.64
2037-01-01;12108.28
2037-02-01;20324.53
2037-03-01;4441.40
2037-04-01;13667.66
2037-05-01;52298.66
