Fecha;Sector;Ventas
31/10/2019;COMERCIAL;726.52
31/10/2019;COMERCIAL;1,377.18
31/10/2019;COMERCIAL;169.73
31/10/2019;COMERCIAL;157.04
31/10/2019;COMERCIAL;456.13
31/10/2019;COMERCIAL;794.71
31/10/2019;COMERCIAL;543.78
31/10/2019;COMERCIAL;157.02
31/10/2019;RESIDENCIAL;64.17
31/10/2019;COMERCIAL;997.73
31/10/2019;COMERCIAL;2,379.48
31/10/2019;COMERCIAL;442.21
31/10/2019;COMERCIAL;467.83
31/10/2019;RESIDENCIAL;64.17
31/10/2019;RESIDENCIAL;64.17
31/10/2019;RESIDENCIAL;64.17
31/10/2019;RESIDENCIAL;64.17
31/10/2019;COMERCIAL;577.65
31/10/2019;COMERCIAL;581.07
31/10/2019;COMERCIAL;587.27
31/10/2019;COMERCIAL;587.27
31/10/2019;COMERCIAL;461.13
31/10/2019;COMERCIAL;461.52
31/10/2019;COMERCIAL;1,182.78
31/10/2019;COMERCIAL;1,182.78
31/10/2019;COMERCIAL;868.74
31/10/2019;COMERCIAL;1,182.78
31/10/2019;COMERCIAL;569.58
31/10/2019;COMERCIAL;505.66
31/10/2019;COMERCIAL;640.01
31/10/2019;COMERCIAL;622.15
31/10/2019;COMERCIAL;683.95
31/10/2019;COMERCIAL;630.27
31/10/2019;COMERCIAL;569.58
31/10/2019;COMERCIAL;622.41
31/10/2019;COMERCIAL;505.27
31/10/2019;COMERCIAL;576.09
31/10/2019;COMERCIAL;529.62
31/10/2019;COMERCIAL;534.87
31/10/2019;COMERCIAL;630.63
31/10/2019;COMERCIAL;307.37
31/10/2019;COMERCIAL;325.83
31/10/2019;COMERCIAL;622.15
31/10/2019;COMERCIAL;505.27
31/10/2019;COMERCIAL;997.73
31/10/2019;COMERCIAL;692.15
31/10/2019;COMERCIAL;505.27
31/10/2019;COMERCIAL;455.47
31/10/2019;COMERCIAL;461.52
31/10/2019;COMERCIAL;597.02
31/10/2019;COMERCIAL;461.13
31/10/2019;COMERCIAL;587.27
31/10/2019;COMERCIAL;812.39
9/01/2019;COMERCIAL;3,454.82
9/01/2019;COMERCIAL;607.82
9/01/2019;COMERCIAL;516.57
9/01/2019;COMERCIAL;25,943.07
9/01/2019;COMERCIAL;383.45
9/01/2019;COMERCIAL;2,123.24
9/01/2019;COMERCIAL;3,554.64
9/01/2019;COMERCIAL;2,698.44
9/01/2019;COMERCIAL;4,162.26
9/01/2019;COMERCIAL;1,067.60
10/01/2019;COMERCIAL;870.70
15/01/2019;COMERCIAL;641.57
15/01/2019;COMERCIAL;876.97
23/01/2019;COMERCIAL;1,591.33
7/01/2019;COMERCIAL;14,538.10
7/01/2019;COMERCIAL;11,002.89
18/01/2019;COMERCIAL;366.25
18/01/2019;COMERCIAL;366.25
8/02/2019;COMERCIAL;5,431.60
8/02/2019;COMERCIAL;5,568.45
8/02/2019;COMERCIAL;2,309.78
8/02/2019;COMERCIAL;2,032.61
8/02/2019;COMERCIAL;2,915.47
8/02/2019;COMERCIAL;9,516.36
15/02/2019;COMERCIAL;1,334.49
15/02/2019;COMERCIAL;1,592.69
15/02/2019;COMERCIAL;8,102.65
15/02/2019;COMERCIAL;2,645.63
15/02/2019;COMERCIAL;1,334.49
15/02/2019;COMERCIAL;1,620.85
15/02/2019;COMERCIAL;1,745.69
15/02/2019;COMERCIAL;1,592.69
15/02/2019;COMERCIAL;1,271.28
15/02/2019;COMERCIAL;1,570.37
15/02/2019;COMERCIAL;1,592.69
15/02/2019;COMERCIAL;1,620.85
15/02/2019;COMERCIAL;2,411.88
15/02/2019;COMERCIAL;913.22
15/02/2019;COMERCIAL;1,195.84
15/02/2019;COMERCIAL;1,465.18
15/02/2019;COMERCIAL;6,483.40
15/02/2019;COMERCIAL;3,604.30
15/02/2019;COMERCIAL;770.22
15/02/2019;COMERCIAL;981.65
15/02/2019;COMERCIAL;1,192.51
15/02/2019;COMERCIAL;650.21
20/03/2019;COMERCIAL;3,384.98
20/03/2019;COMERCIAL;8,411.44
20/03/2019;COMERCIAL;7,787.59
20/03/2019;COMERCIAL;1,818.72
20/03/2019;COMERCIAL;2,160.97
20/03/2019;COMERCIAL;3,452.56
20/03/2019;COMERCIAL;8,385.52
20/03/2019;COMERCIAL;1,228.95
20/03/2019;COMERCIAL;17,305.78
15/03/2019;COMERCIAL;12,023.08
15/03/2019;COMERCIAL;13,515.08
15/03/2019;COMERCIAL;13,274.23
15/03/2019;COMERCIAL;1,940.76
15/03/2019;COMERCIAL;2,859.74
15/03/2019;COMERCIAL;6,205.67
4/04/2019;COMERCIAL;542.03
8/04/2019;COMERCIAL;5,616.74
8/04/2019;COMERCIAL;2,374.49
8/04/2019;COMERCIAL;2,082.87
8/04/2019;COMERCIAL;6,716.68
8/04/2019;COMERCIAL;6,105.15
8/04/2019;COMERCIAL;3,663.09
8/04/2019;COMERCIAL;1,545.62
8/04/2019;COMERCIAL;10,119.29
8/04/2019;COMERCIAL;6,008.28
8/04/2019;COMERCIAL;5,087.62
8/04/2019;COMERCIAL;3,022.50
8/04/2019;COMERCIAL;1,223.87
24/04/2019;COMERCIAL;136.65
24/04/2019;COMERCIAL;136.65
24/04/2019;COMERCIAL;136.65
6/05/2019;COMERCIAL;24,813.67
6/05/2019;COMERCIAL;4,348.97
6/05/2019;COMERCIAL;19,431.23
20/05/2019;COMERCIAL;2,182.76
20/05/2019;COMERCIAL;28,888.96
20/05/2019;COMERCIAL;3,529.56
20/05/2019;COMERCIAL;3,803.39
20/05/2019;COMERCIAL;3,892.77
20/05/2019;COMERCIAL;6,085.44
20/05/2019;COMERCIAL;1,273.88
20/05/2019;COMERCIAL;1,222.44
21/05/2019;COMERCIAL;3,733.73
21/05/2019;COMERCIAL;2,235.81
21/05/2019;COMERCIAL;2,142.70
27/06/2019;COMERCIAL;6,451.23
11/06/2019;COMERCIAL;1,363.46
11/06/2019;COMERCIAL;1,193.15
11/06/2019;COMERCIAL;4,004.15
11/06/2019;COMERCIAL;1,210.33
11/06/2019;COMERCIAL;3,395.43
11/06/2019;COMERCIAL;11,173.19
