SECTOR;CANTIDAD;FOB_TOTAL;FLETE_TOTAL;CIF_TOTAL
1;1;701;24.59;726.52
1;1;1332.08;43.46;1377.18
1;1;165.15;4.38;169.73
1;1;152.47;4.38;157.04
1;1;441.23;14.36;456.13
1;1;766.83;26.93;794.71
1;1;525.04;18.09;543.78
1;1;152.46;4.38;157.02
2;1;62.3;1.8;64.17
1;1;965.04;31.5;997.73
1;1;2301.92;74.73;2379.48
1;1;427.77;13.94;442.21
1;1;452.27;15.03;467.83
2;1;62.3;1.8;64.17
2;1;62.3;1.8;64.17
2;1;62.3;1.8;64.17
2;1;62.3;1.8;64.17
1;1;558.03;18.93;577.65
1;1;557.72;22.66;581.07
1;1;567.22;19.35;587.27
1;1;567.22;19.35;587.27
1;1;445.98;14.6;461.13
1;1;446.18;14.79;461.52
1;1;1144.69;36.67;1182.78
1;1;1144.69;36.67;1182.78
1;1;847.73;19.96;868.74
1;1;1144.69;36.67;1182.78
1;1;551.59;17.31;569.58
1;1;489.61;15.45;505.66
1;1;620.31;18.93;640.01
1;1;603.14;18.27;622.15
1;1;663.23;19.9;683.95
1;1;610.95;18.57;630.27
1;1;551.59;17.31;569.58
1;1;603.28;18.39;622.41
1;1;489.4;15.27;505.27
1;1;552.99;22.42;576.09
1;1;508.31;20.68;529.62
1;1;513.2;21.04;534.87
1;1;611.43;18.45;630.63
1;1;298.61;8.41;307.37
1;1;315.9;9.56;325.83
1;1;603.14;18.27;622.15
1;1;489.4;15.27;505.27
1;1;965.04;31.5;997.73
1;1;663.86;27.47;692.15
1;1;489.4;15.27;505.27
1;1;440.33;14.6;455.47
1;1;446.18;14.79;461.52
1;1;576.59;19.72;597.02
1;1;445.98;14.6;461.13
1;1;567.22;19.35;587.27
1;1;786.89;24.53;812.39
1;2;3414.68;37.04;3454.82
1;1;600.77;6.51;607.82
1;1;510.58;5.53;516.57
1;21;25641.56;278.18;25943.07
1;2;379;4.11;383.45
1;13;2098.58;22.76;2123.24
1;24;3513.34;38.11;3554.64
1;20;2667.09;28.93;2698.44
1;14;4113.89;44.63;4162.26
1;2;1055.21;11.44;1067.6
1;1;813.69;56.23;870.7
1;1;177.17;452.2;641.57
1;1;185.87;678.3;876.97
1;1;311.5;1203.29;1591.33
1;12;14159.52;365.51;14538.1
1;7;10716.37;276.63;11002.89
1;1;316.25;37.5;366.25
1;1;316.25;37.5;366.25
1;1;5312.07;114.67;5431.6
1;42;5445.91;117.56;5568.45
1;3;2258.96;48.76;2309.78
1;6;1987.88;42.91;2032.61
1;20;2851.31;61.55;2915.47
1;90;9306.93;200.91;9516.36
1;1;1257.41;75.88;1334.49
1;1;1500.69;90.57;1592.69
1;4;7634.6;460.76;8102.65
1;3;2492.81;150.44;2645.63
1;1;1257.41;75.88;1334.49
1;1;1527.22;92.17;1620.85
1;1;1644.85;99.27;1745.69
1;1;1500.69;90.57;1592.69
1;1;1197.85;72.29;1271.28
1;1;1479.66;89.3;1570.37
1;1;1500.69;90.57;1592.69
1;1;1527.22;92.17;1620.85
1;2;2272.56;137.15;2411.88
1;1;860.47;51.93;913.22
1;1;1126.77;68;1195.84
1;1;1380.55;83.31;1465.18
1;4;6108.88;368.68;6483.4
1;4;3495.94;105.02;3604.3
1;1;700.29;69.27;770.22
1;1;892.51;88.29;981.65
1;1;1084.22;107.26;1192.51
1;1;591.17;58.48;650.21
1;21;3304.65;77.31;3384.98
1;11;8269.16;134.71;8411.44
1;45;7667.76;112.81;7787.59
1;6;1775.56;41.54;1818.72
1;4;2109.69;49.35;2160.97
1;2;3370.62;78.86;3452.56
1;14;8186.49;191.53;8385.52
1;1;1199.78;28.07;1228.95
1;100;17039.48;250.69;17305.78
1;164;11596.44;415.82;12023.08
1;164;12992.08;510.87;13515.08
1;128;12761.6;500.72;13274.23
1;12;1866;73.02;1940.76
1;13;2767.7;89.46;2859.74
1;25;5990;210.08;6205.67
1;2;537.69;3.67;542.03
1;20;5520;91.69;5616.74
1;4;2333.6;38.76;2374.49
1;1;2047;34;2082.87
1;41;6601;109.64;6716.68
1;50;6000;99.66;6105.15
1;20;3600;59.8;3663.09
1;1;1519;25.23;1545.62
1;15;9945;165.19;10119.29
1;20;5904.8;98.08;6008.28
1;20;5000;83.05;5087.62
1;23;2970.45;49.34;3022.5
1;1;1197;25.78;1223.87
1;1;116.66;11.66;136.65
1;1;116.66;11.66;136.65
1;1;116.66;11.66;136.65
1;170;24265.8;525.56;24813.67
1;45;4252.95;92.11;4348.97
1;20;19002.2;411.56;19431.23
1;2;2142;38.81;2182.76
1;30;28541.04;321.92;28888.96
1;20;3480;46.39;3529.56
1;15;3750;49.98;3803.39
1;13;3838.12;51.16;3892.77
1;50;6000;79.98;6085.44
1;8;1256;16.74;1273.88
1;1;1197;24.35;1222.44
